src,dst,amount,timestamp,shared_device
45,1337,256.53,20312,0
45,767,700.03,20501,0
46,961,1892.76,20875,0
46,214,3285.68,21050,0
46,348,2722.1,21167,0
47,2212,3339.78,21206,0
48,2374,1419.76,21331,0
49,425,1320.59,21368,0
49,2389,1048.66,21707,0
49,1300,269.03,21734,0
49,2404,757.2,22111,0
49,2121,1543.8,22143,0
50,1100,782.56,22284,0
50,1351,1221.03,22606,0
51,1562,671.52,22742,0
51,2707,1628.06,22819,0
52,2096,801.88,23020,0
53,2646,161.29,23377,0
53,2383,2867.21,23393,0
53,1767,132.96,23513,0
53,2321,735.3,23656,0
53,411,6270.57,23882,0
54,2584,281.78,24116,0
54,954,3207.53,24392,0
54,1999,392.09,24524,0
54,522,882.59,24683,0
55,1116,1908.27,24859,0
56,2603,1031.82,25149,0
56,2565,1276.07,25319,0
56,108,1901.23,25529,0
57,2861,1837.13,25875,0
57,99,1780.49,26082,0
57,890,399.83,26163,0
58,1567,3253.4,26260,0
58,1317,932.88,26649,0
58,2831,561.16,26994,0
58,2813,2377.71,27364,0
58,1644,220.03,27395,0
59,1942,1968.93,27604,0
59,1433,1169.27,27930,0
59,206,844.49,28255,0
59,2553,1117.66,28605,0
60,2168,827.68,28659,0
60,2366,856.78,28848,0
60,302,372.8,28968,0
61,192,5928.66,29082,0
61,1858,252.58,29426,0
61,2360,869.25,29470,0
62,1036,1170.22,29505,0
62,1058,1669.57,29676,0
62,462,489.94,30004,0
63,1672,73.42,30183,0
64,227,395.6,30408,0
64,2241,1294.15,30584,0
65,1784,1360.36,30822,0
66,121,826.2,30831,0
66,2645,1242.27,31102,0
66,563,849.66,31477,0
66,141,250.33,31805,0
67,105,417.79,31885,0
67,2,1374.52,32246,0
67,1917,1517.6,32349,0
67,90,561.77,32530,0
67,1675,1018.94,32685,0
68,2253,232.93,33002,0
68,2191,657.97,33195,0
69,2380,384.87,33371,0
69,2900,1966.06,33558,0
70,1124,668.92,33888,0
70,2066,1634.32,34006,0
70,1657,537.51,34232,0
71,2115,314.94,34451,0
71,243,5832.03,34731,0
72,1851,122.1,34943,0
72,625,1248.14,35187,0
72,882,766.58,35280,0
72,1494,1170.91,35567,0
73,1175,1257.15,35955,0
73,1248,1105.43,36183,0
74,2903,1596.0,36427,0
74,1932,1853.99,36699,0
74,89,7166.24,36940,0
74,2153,220.29,37223,0
75,2912,1220.67,37589,0
75,1337,1856.04,37833,0
76,1630,1212.17,38044,0
77,2525,1169.09,38196,0
77,2603,754.88,38467,0
77,1828,789.25,38511,0
78,2902,640.15,38902,0
78,2512,225.58,38909,0
79,493,7637.82,39028,0
80,684,873.26,39150,0
80,2136,2373.71,39366,0
80,1821,267.03,39720,0
80,1776,294.41,39981,0
81,1439,164.68,40027,0
81,1264,4541.79,40286,0
81,2924,233.85,40507,0
82,1557,3279.75,40523,0
83,2777,3421.92,40729,0
83,2814,1116.99,40760,0
83,1493,2668.7,41121,0
83,1607,2906.64,41250,0
84,2579,865.01,41555,0
84,47,326.24,41910,0
84,1448,827.15,42088,0
84,2354,1396.12,42145,0
84,1696,1051.74,42473,0
85,2233,859.6,42709,0
85,221,2071.12,42998,0
85,464,333.46,43394,0
85,136,5699.38,43550,0
86,1164,1827.51,43738,0
86,877,586.62,43773,0
86,2335,3215.45,44000,0
86,1336,964.53,44347,0
87,715,1713.79,44453,0
87,2852,1110.51,44505,0
88,1319,436.83,44606,0
88,12,1611.18,44697,0
88,2316,291.9,44904,0
88,659,980.28,45150,0
88,2804,5224.88,45380,0
89,1095,2800.42,45765,0
89,1057,784.52,46056,0
89,1321,485.82,46236,0
89,479,1309.04,46373,0
90,2325,573.03,46630,0
90,2654,5461.53,46931,0
90,622,512.42,47317,0
91,913,199.52,47422,0
91,1766,851.74,47744,0
91,1416,887.54,48029,0
91,1245,1960.98,48042,0
92,1315,925.31,48151,0
92,155,5864.04,48250,0
92,528,2246.99,48627,0
92,2015,1791.14,48711,0
93,2285,1576.97,49066,0
93,609,1048.37,49233,0
93,952,596.83,49322,0
94,2725,1915.2,49678,0
94,2741,287.85,49778,0
95,1002,1493.69,49930,0
95,633,8369.4,50268,0
95,1018,1343.73,50512,0
96,1037,634.6,50825,0
97,893,715.12,51120,0
97,2773,619.47,51411,0
97,1118,4429.72,51606,0
97,1713,2887.79,51844,0
97,965,273.27,51983,0
98,1143,4760.38,52298,0
98,1050,1054.78,52515,0
98,2057,2090.4,52629,0
98,1843,614.35,52749,0
99,74,171.96,52918,0
99,115,3610.47,53148,0
99,1290,543.84,53181,0
100,1982,1522.75,53314,0
101,2602,1148.61,53669,0
101,2642,3740.37,54010,0
101,2201,2060.7,54174,0
101,2148,3606.89,54494,0
101,1315,570.89,54561,0
102,2553,1390.39,54889,0
102,2028,285.41,55132,0
102,1543,5795.15,55232,0
102,1697,1001.93,55450,0
103,1980,1154.76,55840,0
103,2717,4580.36,56223,0
103,634,2574.04,56541,0
103,1720,2250.92,56726,0
103,1343,1552.99,56802,0
104,1530,1639.98,57034,0
104,335,1502.29,57114,0
104,270,926.26,57417,0
104,2151,1107.16,57597,0
104,43,364.83,57746,0
105,784,1856.96,57857,0
105,1442,1933.66,57918,0
106,941,1187.58,58234,0
106,1210,582.16,58323,0
106,1428,1257.37,58588,0
106,265,700.44,58736,0
106,979,1433.36,59120,0
107,2450,2249.24,59443,0
107,2376,157.79,59746,0
107,1066,292.28,59943,0
107,1406,497.82,60277,0
108,678,321.58,60488,0
108,1068,449.65,60540,0
108,1574,522.69,60546,0
109,974,917.29,60556,0
109,2058,1992.1,60604,0
110,2335,1188.69,60714,0
110,1630,501.8,60745,0
110,1945,2366.45,60870,0
110,1474,1711.19,60891,0
111,1358,1148.49,61157,0
112,766,4389.6,61246,0
112,2804,2063.95,61271,0
112,2810,1454.02,61667,0
112,2393,525.45,61838,0
113,2057,18869.35,62091,0
114,1615,559.49,62380,0
114,1882,682.61,62432,0
114,1250,514.08,62563,0
114,320,198.66,62808,0
115,1268,2697.28,62996,0
115,2353,530.1,63281,0
115,1862,827.14,63555,0
116,2382,667.32,63584,0
116,1308,948.78,63827,0
116,1071,307.4,64082,0
116,848,183.69,64364,0
117,849,2343.46,64567,0
118,2812,3532.45,64723,0
118,1100,2764.73,64875,0
119,2118,1893.32,64887,0
119,2015,3263.23,64975,0
119,1311,443.0,65354,0
119,1303,1736.97,65357,0
119,433,166.37,65460,0
120,419,6801.37,65693,0
120,1111,788.88,66092,0
120,2528,1144.38,66155,0
120,1399,669.9,66536,0
121,1069,924.05,66767,0
121,1254,381.67,67161,0
121,1568,2538.18,67330,0
121,2743,797.03,67432,0
121,2150,518.66,67625,0
122,2134,477.34,67873,0
122,1568,1285.75,68221,0
122,2519,1641.52,68275,0
123,429,857.91,68317,0
123,2203,717.77,68467,0
123,2430,527.42,68651,0
124,2458,1028.9,68997,0
124,472,888.27,69069,0
124,1639,849.1,69191,0
124,1580,2576.64,69346,0
124,2076,1387.54,69610,0
125,2593,917.98,69637,0
125,2600,4587.54,69720,0
125,653,1453.61,70019,0
126,1956,1474.44,70223,0
126,296,6977.62,70251,0
126,416,106.25,70357,0
126,2728,998.26,70519,0
126,285,2608.07,70718,0
127,2781,522.17,70848,0
127,219,774.05,71091,0
128,965,347.53,71437,0
128,2644,729.11,71787,0
129,1276,325.49,72040,0
130,2142,5792.0,72418,0
130,206,1502.74,72554,0
130,139,1116.03,72680,0
130,2249,392.92,73076,0
130,335,326.39,73186,0
131,1269,732.31,73262,0
131,270,1509.53,73435,0
132,1717,1515.83,73685,0
132,2858,515.1,73766,0
132,2972,1159.96,74041,0
132,434,725.16,74238,0
133,1787,325.22,74322,0
133,261,105.66,74416,0
134,1302,221.74,74442,0
134,215,6574.14,74838,0
135,2158,870.39,75105,0
135,1268,12661.46,75143,0
135,2934,222.54,75196,0
135,1626,387.38,75268,0
135,242,245.51,75646,0
136,1614,799.22,75707,0
136,903,571.75,75822,0
136,722,1628.11,75928,0
136,1700,1514.87,76148,0
136,1237,364.45,76166,0
137,1945,2666.06,76551,0
137,1644,264.6,76587,0
138,664,3291.78,76761,0
138,2937,1351.07,77022,0
138,944,3639.97,77281,0
138,1247,1173.92,77643,0
138,579,4819.63,77952,0
139,372,3778.38,78078,0
139,2435,1042.54,78095,0
139,1637,152.93,78423,0
139,632,1037.48,78701,0
140,2016,11894.85,79070,0
141,724,2946.08,79104,0
141,778,512.93,79391,0
141,1981,2931.41,79463,0
142,1345,1839.02,79803,0
142,1471,695.68,79851,0
142,1964,490.71,80009,0
143,2220,389.66,80093,0
143,2898,1365.67,80141,0
143,2110,1386.58,80436,0
144,2645,2308.45,80695,0
144,2447,2380.89,80734,0
144,2728,849.26,80746,0
144,543,766.99,80920,0
145,2796,1702.62,81068,0
145,175,3628.69,81111,0
145,468,1455.99,81235,0
146,891,3015.92,81533,0
146,67,572.72,81839,0
146,1616,313.15,81900,0
146,1851,2684.42,81988,0
146,2765,1441.33,82048,0
147,1538,474.37,82311,0
147,2715,3520.25,82437,0
147,1001,1417.23,82800,0
147,2058,2179.72,82821,0
148,1467,795.54,83152,0
148,1555,1102.34,83288,0
148,1767,1574.69,83595,0
148,2744,282.42,83737,0
149,2884,1334.61,84091,0
149,952,322.37,84335,0
149,1450,1972.9,84396,0
149,1563,1988.14,84620,0
149,2104,1289.05,84939,0
150,1879,1202.52,85077,0
150,2191,1062.78,85086,0
150,2342,258.93,85389,0
151,1171,1165.63,85403,0
151,1903,2668.88,85574,0
151,2385,1634.52,85676,0
151,515,638.04,85990,0
152,1246,2606.64,86205,0
152,2956,2238.27,86492,0
152,232,993.85,86724,0
153,110,584.99,86990,0
153,2721,1661.17,87199,0
153,213,481.01,87326,0
154,1916,880.43,87426,0
154,491,937.0,87586,0
155,1378,80.46,87869,0
155,1916,677.96,88154,0
155,2652,658.54,88469,0
156,1834,1185.43,88741,0
156,1670,3060.06,89100,0
157,381,2332.38,89361,0
157,2097,1166.32,89403,0
157,1041,510.12,89782,0
157,2642,1904.46,89979,0
158,2169,1696.43,90375,0
158,1657,1929.35,90583,0
158,2982,1301.06,90852,0
159,2684,771.49,90893,0
160,2418,97.65,90931,0
161,2746,576.64,90956,0
161,2237,1895.28,91261,0
161,2253,596.6,91541,0
161,86,3384.44,91645,0
162,1679,526.59,91872,0
163,2036,2281.62,91949,0
164,545,885.49,92010,0
164,922,412.71,92295,0
164,2051,509.53,92536,0
164,1404,1555.84,92700,0
164,766,382.69,92803,0
165,1406,1488.21,92998,0
165,98,34684.44,93152,0
165,2196,1458.44,93406,0
165,1192,4537.03,93719,0
166,1428,1205.1,93930,0
167,1372,1597.3,94009,0
167,2563,473.97,94121,0
167,1261,626.59,94181,0
167,789,1573.72,94188,0
168,2025,285.58,94300,0
168,211,875.18,94474,0
168,91,351.57,94587,0
168,1681,393.76,94869,0
168,2526,1814.65,95074,0
169,2379,519.99,95354,0
169,1665,657.95,95699,0
169,2444,1652.32,95902,0
170,2690,1187.04,96182,0
170,2569,265.87,96234,0
170,2816,1065.35,96480,0
171,2689,1635.21,96841,0
172,648,402.09,96868,0
172,1735,3934.46,97075,0
172,2707,1455.76,97399,0
172,2988,212.85,97469,0
172,2981,1507.63,97705,0
173,2460,1882.98,97780,0
173,2063,4400.88,98178,0
174,608,777.8,98184,0
174,1173,1481.21,98435,0
174,36,1908.12,98528,0
174,376,972.54,98632,0
175,1857,6118.73,98934,0
175,1330,5557.89,99093,0
175,2804,1886.57,99110,0
176,2451,7708.96,99134,0
176,2038,562.07,99226,0
176,604,3506.81,99594,0
177,202,1997.37,99698,0
177,2626,1374.86,99706,0
177,2816,1013.6,99939,0
177,968,1131.31,100263,0
178,373,357.39,100297,0
179,2190,1369.41,100676,0
179,1611,1067.47,100967,0
180,1671,839.07,100995,0
180,2496,710.93,101192,0
180,1330,174.77,101549,0
181,1546,757.89,101921,0
181,2852,3357.95,102185,0
181,1458,687.6,102340,0
181,941,560.51,102530,0
181,2098,680.21,102816,0
182,851,307.58,103021,0
182,2638,371.41,103105,0
182,108,6933.48,103173,0
183,679,751.23,103293,0
183,2175,4484.8,103383,0
183,2687,86.56,103587,0
183,585,689.7,103953,0
184,2160,555.53,104002,0
184,2471,1658.8,104306,0
184,462,704.96,104326,0
185,1640,1181.78,104398,0
185,1317,1721.73,104737,0
186,2239,3281.78,104846,0
186,2392,532.53,105066,0
186,2039,1107.93,105433,0
186,2335,1096.93,105735,0
187,1477,1534.94,105884,0
188,2225,1588.47,106259,0
188,1882,1065.63,106265,0
188,451,1040.43,106380,0
188,679,637.73,106502,0
189,1839,1212.14,106719,0
189,685,1232.09,106794,0
189,719,431.29,106909,0
190,2884,1758.14,107032,0
191,1727,3045.88,107156,0
191,299,466.39,107275,0
191,2237,1276.13,107385,0
191,1115,1128.95,107511,0
191,2490,854.17,107736,0
192,2713,1011.2,107919,0
193,853,448.65,108147,0
193,1467,1647.69,108536,0
193,1664,1842.91,108668,0
194,2040,392.59,108902,0
194,1002,517.65,109194,0
194,706,763.1,109362,0
195,981,1560.03,109708,0
195,632,757.71,109769,0
196,1974,2889.22,109807,0
196,2997,916.75,110169,0
197,1943,2289.63,110543,0
198,335,2632.41,110638,0
198,1107,121.18,110817,0
198,1963,960.69,111001,0
199,723,548.94,111307,0
199,2593,749.62,111423,0
199,2368,826.05,111770,0
199,2134,215.08,112110,0
199,1196,5415.54,112113,0
200,48,435.65,112305,0
200,1072,343.13,112342,0
201,1336,1044.73,112526,0
201,2018,688.43,112843,0
201,56,5151.74,113008,0
201,1365,1009.97,113058,0
202,2254,1037.45,113264,0
202,1766,200.81,113500,0
203,686,2313.27,113620,0
204,2288,1582.96,113990,0
204,735,3485.41,114330,0
204,1849,2357.47,114349,0
204,894,546.93,114638,0
204,2939,401.86,115035,0
205,1918,246.14,115296,0
205,2311,1039.86,115342,0
205,2022,1860.92,115378,0
206,2106,2560.28,115453,0
206,424,2485.1,115465,0
206,2595,271.06,115523,0
207,1573,1056.63,115915,0
207,824,395.34,116100,0
208,211,1118.03,116373,0
208,657,4448.69,116511,0
209,462,285.93,116819,0
209,2238,1646.06,116966,0
210,2991,1355.75,117291,0
210,2968,1606.3,117683,0
210,727,3249.73,117985,0
210,1940,591.71,118353,0
211,1502,12415.09,118418,0
211,910,484.44,118754,0
211,258,517.9,118831,0
212,236,654.18,119129,0
212,225,1618.58,119521,0
212,2498,1360.62,119550,0
212,1466,1687.59,119752,0
212,1770,1379.38,119826,0
213,705,6371.23,119911,0
213,2613,444.31,119997,0
213,2913,415.79,120070,0
213,2552,1515.45,120252,0
213,1489,679.58,120501,0
214,1100,3247.4,120858,0
214,2956,2433.15,120945,0
214,1096,544.01,121007,0
214,1954,2320.53,121352,0
215,2025,438.31,121676,0
216,1654,3913.7,121731,0
216,860,518.69,121988,0
217,849,821.47,122243,0
217,645,192.71,122497,0
217,1943,2405.09,122746,0
218,534,334.51,122959,0
218,585,1324.39,123068,0
218,991,542.31,123409,0
218,795,2720.54,123545,0
218,1429,1465.77,123936,0
219,601,1581.83,123937,0
219,1640,439.42,124077,0
220,1713,3158.44,124444,0
220,2984,1439.91,124783,0
221,2532,74.14,124834,0
221,602,3800.28,124997,0
221,1651,483.44,125349,0
222,466,5561.3,125524,0
222,1720,1741.3,125756,0
222,1350,2419.94,126131,0
222,866,2088.39,126267,0
222,2058,526.33,126664,0
223,2570,1810.23,126777,0
224,114,1712.87,126914,0
224,1226,5665.56,127218,0
224,333,1497.23,127330,0
224,426,3116.58,127511,0
225,2188,2347.12,127683,0
225,1414,2443.48,127843,0
225,15,1272.49,127911,0
225,2183,816.3,128102,0
226,1333,916.06,128439,0
226,2324,5145.6,128558,0
226,2930,1394.19,128734,0
226,1432,2338.16,128801,0
226,2939,2614.17,128975,0
227,191,1038.91,129178,0
227,1317,1914.85,129253,0
227,581,1325.63,129470,0
227,2550,380.74,129779,0
227,1699,350.66,129807,0
228,750,563.4,129968,0
228,2410,5761.18,130334,0
228,178,65.87,130688,0
228,777,16836.24,131051,0
229,148,2555.81,131059,0
229,559,1617.36,131150,0
229,1041,639.2,131370,0
229,2043,545.52,131399,0
230,1328,447.45,131767,0
230,1851,1500.02,131846,0
230,1747,330.5,131924,0
231,636,5011.67,132090,0
231,2442,593.75,132456,0
231,2771,1076.01,132828,0
232,2485,865.88,132862,0
232,1521,2956.89,133090,0
232,2764,1680.49,133108,0
232,1442,1268.38,133365,0
232,1509,1008.46,133372,0
233,18,216.42,133544,0
233,2366,766.16,133852,0
233,2847,547.49,134114,0
234,2989,6994.4,134179,0
234,659,84.71,134307,0
234,2767,701.96,134489,0
234,2747,1276.04,134685,0
235,1506,428.56,134864,0
235,2865,5508.87,135056,0
235,821,1213.06,135283,0
235,2791,589.11,135458,0
236,138,244.59,135490,0
236,1387,606.12,135654,0
236,948,3318.14,135816,0
237,535,1573.41,136019,0
237,1551,2244.41,136031,0
237,617,3226.4,136038,0
238,1500,1434.19,136227,0
238,2709,1949.54,136493,0
238,2997,1672.69,136611,0
238,1621,489.44,136772,0
239,2522,611.84,137015,0
239,2349,2613.86,137311,0
239,2726,766.62,137665,0
239,2358,1280.23,137695,0
239,1240,70.41,138024,0
240,46,767.69,138375,0
241,817,1517.55,138423,0
241,1286,938.18,138685,0
241,823,819.12,138699,0
241,2071,116.66,138780,0
242,2416,1092.6,139125,0
243,388,2473.17,139504,0
244,1888,1013.97,139618,0
244,1655,1411.56,139727,0
244,69,2329.04,140091,0
244,1839,383.5,140137,0
245,615,1408.56,140277,0
245,713,262.57,140450,0
246,2086,2577.01,140767,0
246,729,635.03,140856,0
246,1753,1311.82,141211,0
247,1794,3661.66,141450,0
247,449,1584.48,141730,0
248,382,6895.42,142129,0
248,2488,780.16,142318,0
248,2533,865.21,142495,0
248,324,2241.74,142576,0
248,327,297.08,142768,0
249,2664,1499.92,143121,0
249,1517,231.2,143472,0
249,2377,293.23,143608,0
249,1866,7952.17,143959,0
249,2140,1957.2,144141,0
250,361,996.04,144327,0
250,2396,3433.26,144675,0
251,2444,1721.89,144974,0
251,194,701.02,145015,0
252,1974,1081.03,145126,0
252,1168,2904.44,145202,0
252,2967,290.5,145339,0
253,1453,1172.84,145604,0
253,2149,1077.68,145919,0
253,1086,1053.88,146177,0
253,961,103.8,146239,0
254,1893,559.86,146491,0
254,2170,610.44,146884,0
254,563,2340.41,146904,0
254,1581,697.42,147142,0
254,2945,857.87,147405,0
255,2225,487.07,147797,0
255,682,218.22,147970,0
255,1738,146.25,148313,0
255,853,396.24,148582,0
256,477,351.02,148680,0
256,2103,1050.26,148685,0
256,475,2703.68,148833,0
256,668,2060.31,149080,0
257,2426,188.29,149429,0
257,1878,867.25,149453,0
257,212,253.18,149639,0
257,1718,576.08,149760,0
258,1950,459.26,149883,0
258,2302,1195.73,150105,0
258,320,786.35,150181,0
258,671,9447.15,150363,0
258,2729,334.45,150366,0
259,1469,330.63,150493,0
259,2110,703.23,150583,0
260,1695,1439.43,150838,0
260,1058,830.17,150905,0
260,1845,1705.07,151166,0
260,1411,1374.79,151475,0
260,2987,5392.31,151800,0
261,1836,364.26,151882,0
261,608,476.47,151908,0
261,704,1001.96,152025,0
262,1458,136.7,152239,0
262,1801,1125.26,152590,0
262,2876,1316.76,152721,0
262,1469,3791.8,152965,0
263,1776,997.4,153305,0
263,965,1808.88,153645,0
263,2190,1566.99,153769,0
264,1102,1452.74,154122,0
264,594,2900.95,154210,0
264,708,2509.75,154271,0
264,2687,1322.32,154439,0
265,452,3626.36,154531,0
265,2996,1514.6,154787,0
266,1466,745.58,155113,0
266,675,562.13,155394,0
266,2416,206.22,155614,0
266,1264,2207.63,155837,0
266,2677,1588.6,155905,0
267,904,4381.12,156060,0
267,2765,1069.24,156171,0
267,631,2550.9,156336,0
267,434,478.27,156474,0
267,1300,1014.92,156713,0
268,1463,444.04,157000,0
268,1194,564.9,157174,0
268,669,1414.53,157341,0
268,1424,673.1,157374,0
268,1838,1243.69,157540,0
269,2810,266.8,157720,0
269,2490,70.89,157866,0
269,1247,701.79,157872,0
269,2244,1271.79,158148,0
269,871,1923.04,158537,0
270,2025,260.14,158867,0
270,2454,1668.19,159196,0
270,1688,1444.67,159311,0
270,883,668.76,159451,0
270,693,230.36,159520,0
271,2807,3221.1,159845,0
271,1019,2393.9,160151,0
271,249,1152.56,160429,0
271,2257,847.29,160678,0
272,1294,546.39,160997,0
273,1933,1676.87,161083,0
273,1747,485.27,161155,0
273,125,2394.5,161275,0
274,657,1558.64,161369,0
274,992,430.98,161385,0
274,1432,658.23,161670,0
274,1079,2652.91,161918,0
275,2234,386.31,161950,0
275,2788,79.51,162308,0
275,956,971.88,162616,0
276,1975,3504.72,162652,0
276,151,2491.4,162693,0
277,1063,3022.67,162695,0
278,924,210.31,162889,0
278,1365,1102.72,163264,0
278,1767,480.92,163509,0
279,1099,399.68,163559,0
279,923,384.02,163894,0
279,1503,3039.68,164144,0
279,2199,1667.7,164441,0
280,2673,528.1,164461,0
281,12,1179.53,164696,0
281,2914,384.36,164698,0
281,51,2444.99,164748,0
281,1512,881.62,165094,0
282,1589,557.25,165391,0
282,1353,679.82,165440,0
282,941,1044.36,165484,0
282,2683,831.03,165873,0
283,1033,1661.4,166270,0
283,2245,2560.23,166373,0
284,891,2231.16,166435,0
284,2999,413.3,166465,0
284,1376,526.39,166812,0
284,510,8352.97,166910,0
284,1111,1487.23,167038,0
285,1730,851.71,167054,0
285,727,3215.4,167252,0
285,1345,425.36,167293,0
286,1441,1137.47,167436,0
286,295,2670.52,167513,0
286,308,750.02,167521,0
286,1302,2015.84,167887,0
286,1285,908.69,168191,0
287,2181,2448.7,168366,0
287,552,897.98,168755,0
287,1780,2109.04,168873,0
287,1879,1301.46,169267,0
288,131,4825.82,169348,0
288,2583,1771.96,169385,0
288,1958,1427.14,169577,0
289,774,1109.79,169812,0
289,117,279.47,170162,0
290,2476,1658.19,170558,0
290,1268,613.19,170818,0
291,2623,675.4,171110,0
291,464,204.02,171241,0
291,2656,1227.45,171297,0
292,1420,5581.6,171627,0
292,2868,1008.95,172020,0
292,1971,4248.41,172322,0
293,2225,131.99,172394,0
293,533,249.58,172545,0
293,2156,5520.82,172617,0
293,2194,443.56,172931,0
293,1700,545.32,173132,0
294,995,1000.2,173399,0
294,2217,711.97,173512,0
294,1345,8602.14,173908,0
294,1900,908.01,174241,0
295,2219,192.33,174463,0
296,491,21943.78,174847,0
296,1006,1378.8,174921,0
296,1584,2031.46,175318,0
296,2175,2327.98,175419,0
297,2081,1219.85,175635,0
297,1913,1521.73,175651,0
298,1220,4503.49,175849,0
299,2383,339.76,176103,0
300,1039,1411.41,176471,0
300,123,430.21,176712,0
301,1031,403.22,176891,0
301,439,288.32,176956,0
301,1311,1603.19,177089,0
301,1752,633.06,177367,0
302,709,537.0,177646,0
302,2487,3628.22,177663,0
303,1130,4246.44,177714,0
303,2545,3013.27,177980,0
303,894,1615.12,178146,0
303,1745,832.71,178447,0
304,1950,638.05,178707,0
304,2712,586.35,178853,0
304,2336,863.78,178866,0
304,886,1534.32,178897,0
305,1443,2412.96,178915,0
305,2652,3149.36,179246,0
305,2697,1262.11,179442,0
305,1281,870.84,179840,0
306,1790,995.2,180134,0
306,1950,6060.42,180422,0
306,204,4809.41,180503,0
307,2422,316.9,180816,0
307,2090,247.78,180839,0
308,594,409.67,181211,0
308,1983,987.35,181541,0
308,572,147.91,181932,0
308,257,2299.95,182179,0
309,936,1978.93,182454,0
309,899,566.14,182558,0
309,926,1240.55,182639,0
310,1177,1608.2,182941,0
310,439,2719.66,183032,0
310,363,1477.98,183076,0
310,1657,426.29,183386,0
311,2101,1772.79,183437,0
311,2181,1539.08,183821,0
311,565,12425.08,184214,0
312,2997,1051.44,184528,0
312,1468,2037.68,184581,0
313,2850,4974.82,184821,0
313,2768,6660.37,185145,0
313,2452,803.36,185408,0
313,888,4234.37,185515,0
314,1520,390.08,185847,0
315,2831,918.48,185877,0
316,1129,2342.65,186201,0
317,2216,158.93,186391,0
318,2479,569.7,186532,0
318,728,473.2,186558,0
319,117,8288.21,186788,0
320,2793,1485.85,186842,0
320,2868,3302.6,186868,0
320,1847,379.88,186885,0
320,1591,2676.79,186928,0
320,522,1502.62,187056,0
321,2386,562.14,187309,0
321,424,334.81,187623,0
321,429,1815.67,187706,0
321,2801,1064.4,188074,0
